t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4996,-0.03,0.36,0.03,-0.05,-0.05,0.28,0.18,0.46,0.22,0
4999,-0.02,0.37,0.01,-0.05,-0.03,0.28,0.18,0.46,0.21,0
5002,-0.02,0.35,-0.00,-0.06,-0.01,0.28,0.18,0.46,0.22,0
5015,-0.05,0.28,-0.04,-0.08,-0.00,0.28,0.18,0.46,0.21,0
5018,-0.03,0.27,-0.05,-0.08,0.01,0.28,0.18,0.46,0.21,0
5021,-0.03,0.26,-0.05,-0.07,0.02,0.28,0.18,0.46,0.22,0
5024,-0.04,0.26,-0.04,-0.07,0.01,0.28,0.18,0.46,0.21,0
5027,-0.03,0.27,-0.04,-0.07,0.01,0.28,0.18,0.46,0.21,0
5040,-0.02,0.24,-0.04,-0.10,0.02,0.28,0.18,0.46,0.22,0
5043,0.01,0.23,-0.05,-0.10,0.06,0.28,0.18,0.46,0.22,0
5046,0.01,0.22,-0.04,-0.09,0.05,0.28,0.18,0.46,0.21,0
5049,0.01,0.22,-0.02,-0.10,0.04,0.28,0.18,0.46,0.22,0
5052,0.01,0.21,-0.01,-0.10,0.02,0.28,0.18,0.46,0.22,0
5065,-0.01,0.27,-0.07,-0.07,0.06,0.28,0.18,0.46,0.21,0
5068,-0.00,0.29,-0.04,-0.08,0.04,0.28,0.18,0.46,0.23,0
5071,0.01,0.31,-0.03,-0.08,0.04,0.28,0.18,0.46,0.23,0
5074,0.01,0.32,-0.01,-0.08,0.02,0.28,0.17,0.45,0.23,0
5077,0.03,0.33,-0.00,-0.08,0.04,0.28,0.17,0.46,0.24,0
5090,0.03,0.37,0.05,-0.10,-0.02,0.28,0.18,0.46,0.23,0
5093,0.05,0.38,0.07,-0.10,-0.02,0.28,0.18,0.46,0.23,0
5096,0.05,0.39,0.07,-0.09,-0.01,0.28,0.18,0.46,0.23,0
5099,0.05,0.38,0.07,-0.09,-0.02,0.28,0.18,0.46,0.22,0
5102,0.05,0.41,0.07,-0.06,-0.02,0.28,0.18,0.46,0.23,0
5115,-0.01,0.40,0.04,-0.06,-0.04,0.28,0.18,0.46,0.21,0
5118,-0.02,0.41,0.03,-0.06,-0.05,0.28,0.18,0.46,0.22,0
5121,-0.02,0.42,0.02,-0.04,-0.04,0.28,0.18,0.46,0.22,0
5124,-0.03,0.45,0.01,-0.04,-0.05,0.28,0.18,0.46,0.22,0
5127,-0.05,0.47,-0.01,-0.04,-0.04,0.28,0.18,0.46,0.23,0
5140,-0.08,0.49,-0.03,-0.03,-0.05,0.28,0.18,0.46,0.22,0
5143,-0.07,0.52,-0.03,-0.03,-0.04,0.28,0.18,0.46,0.23,0
5146,-0.07,0.54,-0.03,-0.04,-0.04,0.28,0.18,0.46,0.22,0
5149,-0.07,0.54,-0.04,-0.04,-0.03,0.28,0.18,0.46,0.23,0
5152,-0.08,0.55,-0.05,-0.04,-0.03,0.28,0.18,0.46,0.23,0
5165,-0.11,0.59,-0.10,-0.10,-0.01,0.28,0.18,0.47,0.22,0
5168,-0.11,0.60,-0.11,-0.09,0.00,0.28,0.18,0.47,0.21,0
5171,-0.11,0.60,-0.12,-0.09,0.01,0.28,0.19,0.47,0.19,0
5174,-0.10,0.61,-0.12,-0.08,0.02,0.28,0.18,0.47,0.21,0
5177,-0.09,0.61,-0.13,-0.06,0.04,0.28,0.19,0.47,0.20,0
5190,-0.06,0.57,-0.08,-0.01,0.02,0.28,0.18,0.47,0.22,0
5193,-0.05,0.55,-0.09,-0.01,0.04,0.28,0.18,0.46,0.24,0
5196,-0.05,0.52,-0.07,0.01,0.02,0.28,0.18,0.47,0.22,0
5199,-0.04,0.48,-0.07,-0.00,0.02,0.28,0.18,0.46,0.21,0
5202,-0.04,0.46,-0.06,-0.00,0.01,0.28,0.18,0.46,0.21,0
5216,-0.03,0.35,-0.03,-0.02,-0.01,0.28,0.18,0.47,0.21,0
5218,-0.02,0.32,-0.02,-0.04,-0.00,0.28,0.18,0.47,0.21,0
5221,-0.01,0.30,0.00,-0.05,-0.01,0.28,0.18,0.46,0.21,0
5224,0.00,0.26,0.01,-0.06,-0.01,0.28,0.18,0.47,0.21,0
5227,0.02,0.24,0.03,-0.07,-0.01,0.28,0.18,0.47,0.21,0
5241,-0.03,0.18,0.03,-0.11,-0.06,0.28,0.19,0.47,0.20,0
5244,-0.03,0.18,0.04,-0.12,-0.07,0.28,0.18,0.46,0.20,0
5247,-0.02,0.18,0.03,-0.13,-0.05,0.28,0.19,0.47,0.20,0
5250,-0.03,0.18,0.03,-0.13,-0.07,0.28,0.18,0.46,0.20,0
5253,-0.03,0.18,0.01,-0.13,-0.04,0.28,0.18,0.47,0.21,0
5266,-0.04,0.24,0.02,-0.11,-0.06,0.28,0.19,0.46,0.20,0
5269,-0.05,0.27,0.03,-0.10,-0.08,0.28,0.18,0.46,0.20,0
5272,-0.07,0.27,0.02,-0.10,-0.09,0.28,0.19,0.47,0.19,0
5275,-0.07,0.28,0.01,-0.10,-0.08,0.28,0.18,0.46,0.21,0
5278,-0.08,0.28,0.00,-0.10,-0.09,0.28,0.18,0.46,0.21,0
5291,-0.08,0.33,-0.00,-0.09,-0.08,0.28,0.19,0.47,0.20,0
5294,-0.07,0.34,-0.00,-0.10,-0.07,0.28,0.19,0.47,0.19,0
5297,-0.08,0.36,-0.01,-0.10,-0.07,0.28,0.19,0.47,0.19,0
5300,-0.08,0.38,-0.03,-0.11,-0.05,0.28,0.19,0.47,0.20,0
5303,-0.07,0.39,-0.02,-0.11,-0.05,0.28,0.19,0.47,0.20,0
5316,-0.08,0.43,-0.06,-0.12,-0.03,0.28,0.19,0.47,0.19,0
5319,-0.08,0.43,-0.07,-0.12,-0.01,0.28,0.19,0.47,0.20,0
5322,-0.10,0.43,-0.08,-0.13,-0.02,0.28,0.18,0.47,0.21,0
5325,-0.10,0.46,-0.09,-0.14,-0.01,0.28,0.19,0.47,0.20,0
5328,-0.10,0.47,-0.09,-0.13,-0.00,0.28,0.19,0.47,0.21,0
5341,-0.14,0.52,-0.07,-0.10,-0.07,0.28,0.19,0.47,0.20,0
5344,-0.16,0.54,-0.06,-0.11,-0.09,0.28,0.19,0.48,0.19,0
5347,-0.17,0.57,-0.06,-0.11,-0.11,0.28,0.19,0.47,0.19,0
5350,-0.19,0.58,-0.07,-0.12,-0.12,0.28,0.19,0.47,0.20,0
5353,-0.18,0.57,-0.07,-0.10,-0.11,0.28,0.19,0.48,0.19,0
5366,-0.18,0.67,-0.06,-0.03,-0.12,0.28,0.19,0.47,0.20,0
5369,-0.16,0.70,-0.05,-0.01,-0.11,0.28,0.19,0.47,0.20,0
5372,-0.16,0.72,-0.03,-0.00,-0.14,0.28,0.19,0.47,0.20,0
5375,-0.15,0.74,-0.03,-0.01,-0.12,0.28,0.19,0.47,0.20,0
5378,-0.17,0.76,-0.03,-0.00,-0.14,0.28,0.19,0.47,0.20,0
5391,-0.15,0.77,-0.01,-0.03,-0.14,0.29,0.19,0.49,0.20,0
5394,-0.16,0.76,-0.00,-0.03,-0.16,0.29,0.19,0.48,0.22,0
5397,-0.17,0.75,-0.01,-0.04,-0.16,0.30,0.19,0.48,0.22,0
5400,-0.16,0.72,-0.00,-0.03,-0.16,0.29,0.19,0.48,0.22,0
5403,-0.12,0.72,0.02,-0.04,-0.14,0.30,0.19,0.48,0.23,0
