t_ms,pitch1,roll1,pitch2,roll2,delta_pitch,fsr1_scaled,fsr2_scaled,fsr_total,fsr_balance,label
4996,0.21,0.07,0.13,0.18,0.07,0.20,0.17,0.37,0.10,1
4999,0.21,0.06,0.13,0.18,0.08,0.20,0.17,0.37,0.08,1
5002,0.22,0.06,0.13,0.17,0.09,0.20,0.17,0.37,0.08,1
5015,0.22,0.03,0.13,0.20,0.08,0.21,0.17,0.37,0.10,1
5018,0.23,0.02,0.14,0.21,0.09,0.21,0.17,0.37,0.10,1
5021,0.22,0.01,0.13,0.22,0.09,0.21,0.17,0.38,0.12,1
5024,0.23,-0.00,0.13,0.20,0.10,0.20,0.17,0.37,0.09,1
5027,0.23,-0.01,0.13,0.21,0.10,0.20,0.17,0.37,0.09,1
5030,0.23,-0.01,0.13,0.21,0.10,0.20,0.17,0.37,0.09,1
5043,0.25,-0.07,0.14,0.19,0.10,0.20,0.16,0.36,0.11,1
5046,0.25,-0.08,0.14,0.17,0.11,0.20,0.17,0.37,0.10,1
5049,0.26,-0.09,0.13,0.15,0.13,0.20,0.16,0.36,0.10,1
5052,0.27,-0.09,0.13,0.13,0.13,0.20,0.16,0.36,0.11,1
5055,0.26,-0.10,0.12,0.11,0.13,0.20,0.16,0.36,0.11,1
5057,0.26,-0.10,0.11,0.12,0.15,0.20,0.16,0.36,0.10,1
5071,0.23,-0.14,0.11,0.09,0.12,0.20,0.16,0.35,0.12,1
5074,0.21,-0.14,0.11,0.09,0.10,0.19,0.16,0.35,0.10,1
5077,0.20,-0.13,0.10,0.09,0.10,0.20,0.16,0.35,0.10,1
5080,0.20,-0.14,0.10,0.10,0.11,0.20,0.16,0.36,0.10,1
5082,0.21,-0.13,0.10,0.08,0.11,0.19,0.16,0.35,0.10,1
5085,0.23,-0.12,0.09,0.08,0.14,0.19,0.16,0.36,0.09,1
5099,0.18,-0.13,0.07,0.03,0.12,0.20,0.16,0.35,0.11,1
5101,0.18,-0.11,0.06,0.03,0.12,0.19,0.15,0.35,0.11,1
5104,0.16,-0.10,0.07,0.04,0.09,0.19,0.16,0.35,0.10,1
5107,0.15,-0.09,0.07,0.04,0.08,0.19,0.16,0.35,0.11,1
5110,0.14,-0.09,0.05,0.04,0.08,0.19,0.16,0.35,0.11,1
5123,0.13,-0.10,0.06,0.03,0.07,0.19,0.15,0.35,0.11,1
5126,0.14,-0.09,0.06,0.03,0.08,0.19,0.16,0.35,0.10,1
5129,0.13,-0.10,0.05,0.03,0.07,0.19,0.16,0.35,0.10,1
5132,0.13,-0.10,0.05,0.03,0.08,0.19,0.15,0.34,0.12,1
5135,0.13,-0.11,0.03,0.02,0.10,0.19,0.16,0.35,0.10,1
5138,0.11,-0.11,0.02,0.02,0.09,0.19,0.16,0.35,0.11,1
5151,0.05,-0.14,-0.01,-0.01,0.06,0.20,0.16,0.35,0.11,1
5154,0.07,-0.15,-0.01,-0.03,0.08,0.20,0.16,0.36,0.10,1
5157,0.06,-0.15,-0.00,-0.02,0.06,0.20,0.16,0.36,0.10,1
5160,0.08,-0.16,-0.01,-0.00,0.09,0.20,0.16,0.36,0.10,1
5163,0.07,-0.12,-0.01,0.01,0.08,0.20,0.16,0.36,0.10,1
5176,0.10,-0.02,0.08,0.10,0.02,0.19,0.16,0.35,0.10,1
5179,0.10,0.00,0.08,0.10,0.02,0.20,0.16,0.36,0.11,1
5182,0.12,0.03,0.09,0.13,0.03,0.20,0.16,0.36,0.09,1
5185,0.15,0.05,0.10,0.14,0.05,0.20,0.16,0.36,0.10,1
5188,0.15,0.06,0.12,0.14,0.03,0.19,0.16,0.35,0.09,1
5191,0.15,0.07,0.13,0.15,0.02,0.20,0.16,0.36,0.10,1
5204,0.18,0.08,0.15,0.16,0.04,0.20,0.16,0.36,0.10,1
5207,0.18,0.08,0.15,0.17,0.03,0.20,0.16,0.36,0.10,1
5210,0.19,0.07,0.16,0.17,0.04,0.20,0.16,0.36,0.10,1
5213,0.19,0.07,0.15,0.17,0.04,0.20,0.16,0.36,0.11,1
5216,0.20,0.08,0.15,0.17,0.05,0.20,0.16,0.36,0.11,1
5219,0.20,0.09,0.15,0.18,0.05,0.20,0.16,0.36,0.10,1
5232,0.21,0.09,0.13,0.17,0.08,0.20,0.17,0.36,0.09,1
5235,0.19,0.07,0.12,0.15,0.08,0.20,0.16,0.36,0.10,1
5238,0.18,0.06,0.11,0.14,0.07,0.20,0.16,0.37,0.10,1
5241,0.18,0.05,0.10,0.15,0.08,0.20,0.17,0.37,0.10,1
5244,0.18,0.06,0.08,0.14,0.09,0.20,0.17,0.37,0.10,1
5247,0.16,0.06,0.07,0.15,0.09,0.20,0.17,0.37,0.10,1
5260,0.11,0.03,0.06,0.13,0.05,0.20,0.17,0.37,0.10,1
5263,0.10,0.03,0.05,0.11,0.05,0.20,0.17,0.37,0.09,1
5266,0.10,0.03,0.03,0.10,0.07,0.20,0.17,0.37,0.09,1
5269,0.07,0.02,0.02,0.10,0.06,0.20,0.17,0.37,0.08,1
5272,0.05,0.02,-0.00,0.09,0.05,0.20,0.17,0.37,0.07,1
5275,0.03,0.02,-0.03,0.08,0.05,0.20,0.17,0.37,0.08,1
5288,-0.04,0.04,-0.09,0.06,0.05,0.20,0.17,0.37,0.10,1
5291,-0.05,0.05,-0.10,0.06,0.05,0.20,0.17,0.37,0.10,1
5294,-0.04,0.07,-0.12,0.07,0.08,0.20,0.17,0.37,0.08,1
5297,-0.04,0.07,-0.12,0.08,0.07,0.20,0.17,0.38,0.09,1
5300,-0.04,0.07,-0.11,0.08,0.07,0.20,0.17,0.38,0.08,1
5303,-0.02,0.07,-0.11,0.08,0.09,0.20,0.17,0.38,0.09,1
5316,0.06,0.05,-0.02,0.06,0.08,0.21,0.17,0.38,0.10,1
5319,0.08,0.04,0.01,0.05,0.07,0.21,0.17,0.38,0.09,1
5322,0.09,0.03,0.01,0.05,0.08,0.21,0.17,0.38,0.10,1
5325,0.10,0.03,0.02,0.05,0.08,0.21,0.17,0.38,0.10,1
5328,0.12,0.00,0.05,0.04,0.06,0.20,0.17,0.37,0.08,1
5331,0.14,0.01,0.07,0.05,0.07,0.20,0.17,0.38,0.09,1
5344,0.21,0.02,0.16,0.04,0.05,0.20,0.17,0.38,0.09,1
5347,0.22,-0.09,0.16,-0.03,0.06,0.21,0.17,0.38,0.09,1
5350,0.23,-0.08,0.14,-0.03,0.09,0.20,0.18,0.39,0.06,1
5353,0.27,-0.07,0.16,-0.03,0.10,0.21,0.17,0.38,0.09,1
5356,0.29,-0.05,0.19,-0.01,0.10,0.21,0.17,0.38,0.10,1
5369,0.18,0.06,0.15,0.12,0.03,0.21,0.17,0.38,0.10,1
5372,0.14,0.08,0.12,0.11,0.02,0.21,0.17,0.38,0.11,1
5375,0.14,0.08,0.13,0.10,0.01,0.21,0.17,0.39,0.11,1
5378,0.16,0.06,0.14,0.07,0.02,0.21,0.17,0.39,0.11,1
5381,0.15,0.06,0.12,0.05,0.03,0.22,0.17,0.39,0.11,1
5383,0.12,0.05,0.10,0.02,0.02,0.21,0.17,0.38,0.10,1
5397,0.09,0.09,0.08,0.02,0.01,0.22,0.17,0.39,0.12,1
5400,0.11,0.12,0.07,0.03,0.04,0.21,0.17,0.38,0.10,1
5402,0.10,0.14,0.06,0.05,0.05,0.22,0.17,0.39,0.12,1
5405,0.08,0.15,0.03,0.05,0.05,0.22,0.17,0.39,0.11,1
5408,0.05,0.16,0.01,0.06,0.04,0.22,0.18,0.39,0.10,1
5411,0.05,0.20,0.02,0.06,0.03,0.22,0.18,0.39,0.11,1
5424,0.05,0.21,0.05,0.04,-0.00,0.22,0.17,0.39,0.11,1
5427,0.08,0.22,0.06,0.05,0.01,0.22,0.17,0.39,0.11,1
5430,0.09,0.20,0.07,0.05,0.02,0.22,0.18,0.39,0.11,1
5433,0.17,0.20,0.12,0.05,0.05,0.22,0.18,0.39,0.11,1
5436,0.21,0.19,0.17,0.05,0.05,0.22,0.17,0.39,0.12,1
5439,0.22,0.18,0.22,0.07,0.00,0.22,0.17,0.39,0.12,1
5452,0.45,0.15,0.40,0.07,0.05,0.22,0.17,0.39,0.12,1
5455,0.47,0.15,0.44,0.07,0.03,0.22,0.17,0.39,0.12,1
5458,0.47,0.14,0.46,0.08,0.01,0.22,0.17,0.39,0.13,1
5461,0.49,0.14,0.48,0.07,0.01,0.22,0.17,0.39,0.13,1
5464,0.53,0.11,0.51,0.08,0.01,0.22,0.17,0.39,0.12,1
5467,0.54,0.09,0.56,0.09,-0.01,0.22,0.17,0.39,0.12,1
5480,0.62,0.00,0.63,0.08,-0.00,0.22,0.17,0.39,0.12,1
5483,0.64,-0.03,0.64,0.06,0.01,0.22,0.17,0.39,0.13,1
5486,0.64,-0.04,0.65,0.05,-0.01,0.22,0.17,0.39,0.14,1
5489,0.63,-0.06,0.65,0.05,-0.03,0.22,0.17,0.39,0.12,1
5492,0.66,-0.09,0.66,0.05,0.00,0.22,0.17,0.38,0.13,1
5495,0.68,-0.12,0.67,0.03,0.01,0.22,0.17,0.39,0.12,1
5508,0.61,-0.23,0.64,-0.04,-0.03,0.22,0.17,0.39,0.12,1
5511,0.58,-0.28,0.61,-0.04,-0.02,0.22,0.17,0.39,0.13,1
5514,0.54,-0.29,0.57,-0.04,-0.03,0.22,0.17,0.39,0.13,1
5517,0.55,-0.33,0.55,-0.05,0.00,0.22,0.17,0.38,0.14,1
5520,0.53,-0.35,0.52,-0.06,0.00,0.22,0.17,0.39,0.12,1
5533,0.37,-0.41,0.38,-0.07,-0.01,0.22,0.17,0.39,0.14,1
5536,0.34,-0.44,0.36,-0.08,-0.02,0.22,0.17,0.39,0.14,1
5539,0.28,-0.47,0.33,-0.08,-0.05,0.21,0.17,0.37,0.11,1
5542,0.27,-0.49,0.31,-0.08,-0.04,0.22,0.17,0.39,0.14,1
5545,0.26,-0.50,0.29,-0.10,-0.02,0.22,0.17,0.39,0.15,1
5558,0.19,-0.57,0.25,-0.13,-0.06,0.22,0.17,0.39,0.14,1
5561,0.18,-0.60,0.25,-0.14,-0.07,0.22,0.17,0.39,0.13,1
5564,0.17,-0.60,0.23,-0.14,-0.06,0.22,0.17,0.39,0.14,1
5567,0.09,-0.58,0.22,-0.14,-0.12,0.22,0.17,0.39,0.14,1
5570,0.06,-0.60,0.22,-0.14,-0.15,0.22,0.17,0.39,0.15,1
5583,0.07,-0.67,0.17,-0.15,-0.10,0.22,0.18,0.40,0.11,1
5586,0.06,-0.65,0.16,-0.16,-0.10,0.22,0.16,0.39,0.15,1
5589,0.06,-0.68,0.18,-0.17,-0.11,0.22,0.17,0.39,0.14,1
5592,0.08,-0.71,0.19,-0.17,-0.11,0.22,0.16,0.38,0.16,1
5595,0.07,-0.73,0.19,-0.17,-0.12,0.22,0.16,0.39,0.15,1
5609,0.14,-0.77,0.25,-0.16,-0.11,0.22,0.16,0.39,0.16,1
5612,0.15,-0.76,0.26,-0.16,-0.11,0.22,0.16,0.39,0.15,1
5614,0.18,-0.75,0.27,-0.17,-0.09,0.22,0.16,0.39,0.16,1
5617,0.20,-0.75,0.30,-0.17,-0.10,0.22,0.17,0.39,0.15,1
5620,0.22,-0.78,0.31,-0.16,-0.10,0.22,0.16,0.39,0.16,1
5634,0.30,-0.82,0.32,-0.15,-0.02,0.23,0.17,0.40,0.14,1
